Language_ID,Value
kore1280,a
kore1280,aː
kore1280,æ
kore1280,æː
kore1280,e
kore1280,eː
kore1280,ɤ
kore1280,ɤː
kore1280,h
kore1280,i
kore1280,iː
kore1280,j
kore1280,k
kore1280,kʰ
kore1280,kˀ
kore1280,l
kore1280,m
kore1280,n
kore1280,ŋ
kore1280,o
kore1280,ø
kore1280,oː
kore1280,p
kore1280,pʰ
kore1280,pˀ
kore1280,s
kore1280,sˀ
kore1280,t
kore1280,tʰ
kore1280,t̠ʃ
kore1280,t̠ʃʰ
kore1280,t̠ʃˀ
kore1280,tˀ
kore1280,u
kore1280,uː
kore1280,ɯ
kore1280,ɯː
kore1280,w
kore1280,y
kore1280,ʔ
kett1243,a
kett1243,aː
kett1243,æ
kett1243,æː
kett1243,b
kett1243,d
kett1243,dʲ
kett1243,h
kett1243,i
kett1243,iː
kett1243,ɨ
kett1243,ɨː
kett1243,ʝ
kett1243,k̟
kett1243,lˠ
kett1243,lʲ
kett1243,m
kett1243,n
kett1243,nʲ
kett1243,ŋ
kett1243,ɔ
kett1243,ɔː
kett1243,ɵ̞
kett1243,ɵ̞ː
kett1243,q
kett1243,s
kett1243,sʲ
kett1243,t
kett1243,tʲ
kett1243,uː
kett1243,ʊ
kett1243,ʔ
lakk1252,a
lakk1252,aː
lakk1252,æˤ
lakk1252,b
lakk1252,d
lakk1252,e̞ˤ
lakk1252,ɡ
lakk1252,ɢ
lakk1252,ɢʷ
lakk1252,h
lakk1252,ħ
lakk1252,i
lakk1252,iː
lakk1252,j
lakk1252,k͈
lakk1252,kʰ
lakk1252,k͈ʷ
lakk1252,kʷʰ
lakk1252,kʷʼ
lakk1252,kʼ
lakk1252,l
lakk1252,m
lakk1252,n
lakk1252,ø̞ˤ
lakk1252,p͈
lakk1252,pʰ
lakk1252,pʼ
lakk1252,q͈
lakk1252,qʰ
lakk1252,q͈ʷ
lakk1252,qʷʰ
lakk1252,qʷʼ
lakk1252,qʼ
lakk1252,r
lakk1252,s
lakk1252,s͈
lakk1252,ʃ
lakk1252,ʃ͈
lakk1252,ʃʷ
lakk1252,ʃ͈ʷ
lakk1252,t͈
lakk1252,tʰ
lakk1252,t͈s
lakk1252,tsʰ
lakk1252,t͈sʷ
lakk1252,tsʷʰ
lakk1252,tsʷʼ
lakk1252,tsʼ
lakk1252,t̠͈ʃ
lakk1252,t̠ʃʰ
lakk1252,t̠͈ʃʷ
lakk1252,t̠ʃʷʰ
lakk1252,t̠ʃʷʼ
lakk1252,t̠ʃʼ
lakk1252,tʼ
lakk1252,u
lakk1252,uː
lakk1252,w
lakk1252,x
lakk1252,x͈
lakk1252,xʷ
lakk1252,x͈ʷ
lakk1252,z
lakk1252,ʒ
lakk1252,ʔ
lakk1252,χ
lakk1252,χ͈
lakk1252,χʷ
lakk1252,χ͈ʷ
kaba1278,a̟ː
kaba1278,b
kaba1278,ç̟
kaba1278,d̻
kaba1278,d̻z̻
kaba1278,e̞ː
kaba1278,ɜ
kaba1278,f
kaba1278,fʼ
kaba1278,ɡ̟ʲ
kaba1278,ɡʷ
kaba1278,ɣ̟ʲ
kaba1278,ħ
kaba1278,ɦ
kaba1278,iː
kaba1278,ɨ
kaba1278,j
kaba1278,ʝ̟
kaba1278,k̟ʲʰ
kaba1278,k̟ʲʼ
kaba1278,kʷʰ
kaba1278,kʷʼ
kaba1278,ɬʲ
kaba1278,ɬʲʼ
kaba1278,ɮʲ
kaba1278,m
kaba1278,n̻
kaba1278,o̞ː
kaba1278,pʰ
kaba1278,pʼ
kaba1278,qχ
kaba1278,qχʷ
kaba1278,qχʷʼ
kaba1278,qχʼ
kaba1278,r
kaba1278,ʁ
kaba1278,ʁʷ
kaba1278,s̻
kaba1278,ʃ
kaba1278,ʃʼ
kaba1278,t̻ʰ
kaba1278,t̻s̻
kaba1278,t̻s̻ʼ
kaba1278,t̻ʼ
kaba1278,uː
kaba1278,v
kaba1278,w
kaba1278,x̟ʲ
kaba1278,xʷ
kaba1278,z̻
kaba1278,ʒ
kaba1278,ʔ
kaba1278,ʔʷ
kaba1278,ʕ
kaba1278,χ
kaba1278,χʷ
nucl1302,a̟
nucl1302,e̞
nucl1302,ə̆
nucl1302,h
nucl1302,ɪ
nucl1302,j
nucl1302,k
nucl1302,kʰ
nucl1302,kʼ
nucl1302,lˠ
nucl1302,m
nucl1302,n
nucl1302,o̞
nucl1302,p
nucl1302,pʰ
nucl1302,pʼ
nucl1302,qʼ
nucl1302,r
nucl1302,ʁ
nucl1302,s
nucl1302,ʃ
nucl1302,t
nucl1302,tʰ
nucl1302,ts
nucl1302,tsʰ
nucl1302,tsʼ
nucl1302,t̠ʃ
nucl1302,t̠ʃʰ
nucl1302,t̠ʃʼ
nucl1302,tʼ
nucl1302,ʊ
nucl1302,z
nucl1302,ʒ
nucl1302,β
nucl1302,χ
buru1296,˥˦
buru1296,˧
buru1296,˩˨
buru1296,a
buru1296,aː
buru1296,ãː
buru1296,b
buru1296,d
buru1296,d̠ʒ
buru1296,ɖ
buru1296,ɖʐ
buru1296,e̞
buru1296,e̞ː
buru1296,f
buru1296,ɡ
buru1296,h
buru1296,i
buru1296,iː
buru1296,j
buru1296,k
buru1296,kʰ
buru1296,l
buru1296,m
buru1296,n
buru1296,ŋ
buru1296,o̞
buru1296,o̞ː
buru1296,p
buru1296,pʰ
buru1296,q
buru1296,qʰ
buru1296,r
buru1296,ʁ
buru1296,s
buru1296,ʂ
buru1296,ʃ
buru1296,t
buru1296,tʰ
buru1296,ts
buru1296,tsʰ
buru1296,t̠ʃ
buru1296,t̠ʃʰ
buru1296,ʈ
buru1296,ʈʰ
